date,event_url,group,name
02/13/16,http://www.meetup.com/_ChiPy_/events/228333440/,ChiPy: Chicago's Official Python User Group,Scientific SIG
02/18/16,http://www.meetup.com/Chicago-PyLadies/events/228531381/,Chicago PyLadies,Data Analytics with Python IV: A Lean Look At Logistic Regression
02/18/16,http://www.meetup.com/ChicagoPythonistas/events/224880680/,Chicago Pythonistas,Python Project Night
03/01/16,http://www.meetup.com/SaltStack-Chicago/events/228711889/,SaltStack Chicago,Securing Orchestration with Pilar's in a mixed Windows and Linux Environment
03/09/16,http://www.meetup.com/meetup-group-NjZdcegA/events/228796444/,Chicago-land OpenStack Group,Let's talk OpenStack Storage!!
