date,name,location,url,cfp,cfp_url,cfp_deadline,fa,fa_url,fa_deadline
02/17/16,Pražské PyVo #59 HOW, Czech Republic Prague in Czech Republic ,http://www.python.cz/,False,,,False,,
02/20/16,PyCaribbean 2016, Dominican Republic Santo Domingo in Dominican Republic ,http://pycaribbean.com/,False,,,False,,
02/22/16,ConFoo 2016, Canada Montreal in Canada ,https://confoo.ca/en,False,,,False,,
02/26/16,Brněnské Pyvo (únorové), Czech Republic Brno in Czech Republic ,http://pyvo.cz/,False,,,False,,
03/12/16,PyData Amsterdam 2016,Amsterdam Netherlands,http://pydata.org/amsterdam2016/,True,http://lanyrd.com/2016/pydata-amsterdam/calls/qdxrp/,"Call closes on 14th February 2016
",False,,
03/30/16,DjangoCon Europe 2016, Hungary Budapest in Hungary ,http://2016.djangocon.eu/,False,,,False,,
04/15/16,PyCon 7,Florence Italy,https://www.pycon.it/,True,http://lanyrd.com/2016/pycon7/calls/qdwqt/,"Call closes on 15th April 2016
",False,,
04/22/16,ProgSCon London 2016, England London in England ,http://progscon.co.uk/,False,,,False,,
05/09/16,PyCon Sweden 2016,Stockholm Sweden,http://pycon.se/,True,http://lanyrd.com/2016/pyconse/calls/qdfgk/,"Call closes on 29th February 2016
DevOpsDjangoProgrammingPythonSciPySoftware
",False,,
05/16/16,OSCON 2016,Austin United States,http://oreil.ly/1S54uk9,True,http://lanyrd.com/2016/oscon/calls/qdxzd/,"Call closes on 12th February 2016
",False,,
05/20/16,PyData Berlin 2016, Germany Berlin in Germany ,http://pydata.berlin/,False,,,False,,
05/28/16,PyCon 2016, United States Portland in United States ,http://us.pycon.org/,False,,,False,,
06/22/16,GeoPython 2016,Muttenz Switzerland,http://www.geopython.net/,True,http://lanyrd.com/2016/geopythonconf/calls/qddmb/,"Call closes on 20th February 2016
Big DataGeoinformaticsGeospatialGeospatial WebservicesGISImage ProcessingMappingOpenGISPythonSmart Cities
",False,,
06/23/16,PyCon Singapore, Singapore Singapore ,https://pycon.sg/,False,,,False,,
07/17/16,EuroPython 2016, Spain Bilbao in Spain ,http://ep2016.europython.eu/,False,,,False,,
08/12/16,PyCon Australia 2016, Australia Melbourne in Australia ,http://2016.pycon-au.org/,False,,,False,,
11/28/16,PyData Cologne 2016, Germany Cologne in Germany ,http://pydata.org/,False,,,False,,
