Panel;Wêze³;Przypadek;MXX (kNm/m);MYY (kNm/m);MXY (kNm/m);NXX (kN/m);NYY (kN/m);NXY (kN/m);QXX (kN/m);QYY (kN/m)
 2; 1; 3 (K);-0,61;-1,68;0,65;-2,57;-28,04;15,06;19,10;28,42
 2; 2; 3 (K);-0,61;-1,68;-0,65;-2,57;-28,04;-15,06;-19,10;28,42
 2; 3; 3 (K);40,56;4,47;2,29;-40,74;-32,33;-5,20;48,20;-42,59
 2; 4; 3 (K);40,56;4,47;-2,29;-40,74;-32,33;5,20;-48,20;-42,59
 2; 5; 3 (K);0,76;0,89;1,97;1,00;-17,10;12,75;28,74;16,52
 2; 6; 3 (K);1,67;4,95;3,10;2,67;-14,30;17,34;46,37;5,95
 2; 7; 3 (K);2,55;10,17;3,69;0,06;-17,71;21,65;59,70;-6,77
 2; 8; 3 (K);3,57;16,20;4,02;-5,38;-24,18;23,67;68,35;-20,22
 2; 9; 3 (K);4,70;22,66;4,18;-12,32;-31,85;24,50;73,54;-33,32
 2; 10; 3 (K);5,89;29,26;4,23;-19,75;-39,72;24,71;76,17;-45,55
 2; 11; 3 (K);7,10;35,81;4,21;-27,09;-47,24;24,53;76,93;-56,68
 2; 12; 3 (K);8,30;42,16;4,13;-33,97;-54,16;24,10;76,31;-66,67
 2; 13; 3 (K);9,46;48,24;4,02;-40,21;-60,36;23,47;74,66;-75,54
 2; 14; 3 (K);10,57;53,98;3,87;-45,76;-65,83;22,69;72,25;-83,38
 2; 15; 3 (K);11,62;59,35;3,70;-50,59;-70,59;21,78;69,27;-90,27
 2; 16; 3 (K);12,60;64,34;3,52;-54,75;-74,70;20,78;65,85;-96,31
 2; 17; 3 (K);13,51;68,93;3,32;-58,27;-78,22;19,68;62,10;-101,58
 2; 18; 3 (K);14,34;73,13;3,10;-61,23;-81,21;18,51;58,10;-106,17
 2; 19; 3 (K);15,10;76,94;2,88;-63,69;-83,75;17,26;53,91;-110,15
 2; 20; 3 (K);15,79;80,38;2,65;-65,71;-85,88;15,96;49,56;-113,59
 2; 21; 3 (K);16,40;83,46;2,41;-67,35;-87,67;14,60;45,09;-116,56
 2; 22; 3 (K);16,95;86,18;2,17;-68,67;-89,16;13,19;40,53;-119,09
 2; 23; 3 (K);17,43;88,57;1,93;-69,71;-90,38;11,73;35,90;-121,25
 2; 24; 3 (K);17,84;90,62;1,68;-70,53;-91,39;10,24;31,20;-123,05
 2; 25; 3 (K);18,20;92,36;1,42;-71,17;-92,19;8,72;26,47;-124,55
 2; 26; 3 (K);18,48;93,80;1,17;-71,65;-92,83;7,17;21,70;-125,75
 2; 27; 3 (K);18,71;94,93;0,91;-72,00;-93,32;5,60;16,90;-126,69
 2; 28; 3 (K);18,89;95,78;0,65;-72,25;-93,67;4,01;12,09;-127,38
 2; 29; 3 (K);19,00;96,34;0,39;-72,40;-93,90;2,41;7,26;-127,84
 2; 30; 3 (K);19,06;96,62;0,13;-72,48;-94,02;0,80;2,42;-128,06
 2; 31; 3 (K);19,06;96,62;-0,13;-72,48;-94,02;-0,80;-2,42;-128,06
 2; 32; 3 (K);19,00;96,34;-0,39;-72,40;-93,90;-2,41;-7,26;-127,84
 2; 33; 3 (K);18,89;95,78;-0,65;-72,25;-93,67;-4,01;-12,09;-127,38
