Panel;Wêze³;Przypadek;MXX (kNm/m);MYY (kNm/m);MXY (kNm/m);NXX (kN/m);NYY (kN/m);NXY (kN/m);QXX (kN/m);QYY (kN/m)
 2; 34; 3 (K);18,71;94,93;-0,91;-72,00;-93,32;-5,60;-16,90;-126,69
 2; 35; 3 (K);18,48;93,80;-1,17;-71,65;-92,83;-7,17;-21,70;-125,75
 2; 36; 3 (K);18,20;92,36;-1,42;-71,17;-92,19;-8,72;-26,47;-124,55
 2; 37; 3 (K);17,84;90,62;-1,68;-70,53;-91,39;-10,24;-31,20;-123,05
 2; 38; 3 (K);17,43;88,57;-1,93;-69,71;-90,38;-11,73;-35,90;-121,25
 2; 39; 3 (K);16,95;86,18;-2,17;-68,67;-89,16;-13,19;-40,53;-119,09
 2; 40; 3 (K);16,40;83,46;-2,41;-67,35;-87,67;-14,60;-45,09;-116,56
 2; 41; 3 (K);15,79;80,38;-2,65;-65,71;-85,88;-15,96;-49,56;-113,59
 2; 42; 3 (K);15,10;76,94;-2,88;-63,69;-83,75;-17,26;-53,91;-110,15
 2; 43; 3 (K);14,34;73,13;-3,10;-61,23;-81,21;-18,51;-58,10;-106,17
 2; 44; 3 (K);13,51;68,93;-3,32;-58,27;-78,22;-19,68;-62,10;-101,58
 2; 45; 3 (K);12,60;64,34;-3,52;-54,75;-74,70;-20,78;-65,85;-96,31
 2; 46; 3 (K);11,62;59,35;-3,70;-50,59;-70,59;-21,78;-69,27;-90,27
 2; 47; 3 (K);10,57;53,98;-3,87;-45,76;-65,83;-22,69;-72,25;-83,38
 2; 48; 3 (K);9,46;48,24;-4,02;-40,21;-60,36;-23,47;-74,66;-75,54
 2; 49; 3 (K);8,30;42,16;-4,13;-33,97;-54,16;-24,10;-76,31;-66,67
 2; 50; 3 (K);7,10;35,81;-4,21;-27,09;-47,24;-24,53;-76,93;-56,68
 2; 51; 3 (K);5,89;29,26;-4,23;-19,75;-39,72;-24,71;-76,17;-45,55
 2; 52; 3 (K);4,70;22,66;-4,18;-12,32;-31,85;-24,50;-73,54;-33,32
 2; 53; 3 (K);3,57;16,20;-4,02;-5,38;-24,18;-23,67;-68,35;-20,22
 2; 54; 3 (K);2,55;10,17;-3,69;0,06;-17,71;-21,65;-59,70;-6,77
 2; 55; 3 (K);1,67;4,95;-3,10;2,67;-14,30;-17,34;-46,37;5,95
 2; 56; 3 (K);0,76;0,89;-1,97;1,00;-17,10;-12,75;-28,74;16,52
 2; 57; 3 (K);2,66;0,79;-1,64;-12,44;-26,51;-12,35;-7,86;35,62
 2; 58; 3 (K);7,08;1,92;-2,65;-21,30;-23,12;-13,90;1,80;49,67
 2; 59; 3 (K);12,41;2,91;-3,35;-31,92;-23,84;-14,69;13,40;61,78
 2; 60; 3 (K);18,18;3,92;-3,87;-42,63;-27,68;-14,91;25,27;70,91
 2; 61; 3 (K);24,09;4,94;-4,24;-52,70;-33,15;-14,94;36,63;77,39
 2; 62; 3 (K);29,90;5,96;-4,49;-61,70;-39,20;-14,88;47,07;81,53
 2; 63; 3 (K);35,45;6,95;-4,63;-69,44;-45,14;-14,75;56,38;83,62
 2; 64; 3 (K);40,61;7,88;-4,68;-75,90;-50,59;-14,58;64,50;83,92
 2; 65; 3 (K);45,31;8,74;-4,64;-81,10;-55,36;-14,34;71,43;82,67
 2; 66; 3 (K);49,49;9,50;-4,52;-85,13;-59,36;-14,03;77,21;80,06
 2; 67; 3 (K);53,12;10,17;-4,34;-88,09;-62,55;-13,66;81,91;76,27
 2; 68; 3 (K);56,19;10,74;-4,10;-90,08;-64,97;-13,21;85,58;71,44
 2; 69; 3 (K);58,69;11,21;-3,81;-91,20;-66,66;-12,69;88,31;65,72
 2; 70; 3 (K);60,62;11,57;-3,47;-91,53;-67,67;-12,11;90,17;59,24
 2; 71; 3 (K);61,99;11,82;-3,09;-91,17;-68,04;-11,47;91,20;52,11
 2; 72; 3 (K);62,82;11,97;-2,68;-90,16;-67,84;-10,77;91,48;44,44
 2; 73; 3 (K);63,12;12,02;-2,24;-88,58;-67,10;-10,03;91,03;36,34
 2; 74; 3 (K);62,91;11,97;-1,77;-86,46;-65,87;-9,26;89,91;27,91
 2; 75; 3 (K);62,20;11,83;-1,30;-83,83;-64,16;-8,46;88,13;19,25
 2; 76; 3 (K);61,02;11,60;-0,81;-80,71;-61,99;-7,65;85,72;10,46
 2; 77; 3 (K);59,38;11,28;-0,31;-77,09;-59,35;-6,83;82,66;1,62
 2; 78; 3 (K);57,31;10,88;0,18;-72,94;-56,20;-6,01;78,95;-7,16
 2; 79; 3 (K);54,81;10,40;0,67;-68,20;-52,49;-5,19;74,54;-15,78
 2; 80; 3 (K);51,92;9,85;1,15;-62,76;-48,11;-4,36;69,37;-24,11
 2; 81; 3 (K);48,67;9,24;1,61;-56,45;-42,89;-3,49;63,34;-31,98
 2; 82; 3 (K);45,09;8,60;2,05;-49,01;-36,61;-2,48;56,31;-39,18
 2; 83; 3 (K);33,92;5,05;4,52;-40,38;-31,78;-1,45;46,22;-12,83
 2; 84; 3 (K);27,73;3,37;6,75;-40,03;-31,90;1,38;42,89;-7,61
 2; 85; 3 (K);22,04;1,69;8,06;-39,85;-31,98;3,10;40,16;-2,83
 2; 86; 3 (K);16,80;-0,03;8,94;-39,71;-32,05;4,07;37,46;1,24
 2; 87; 3 (K);12,00;-1,78;9,47;-39,57;-32,11;4,53;34,81;4,76
 2; 88; 3 (K);7,63;-3,53;9,74;-39,41;-32,17;4,64;32,24;7,83
 2; 89; 3 (K);3,67;-5,28;9,78;-39,22;-32,27;4,51;29,77;10,51
 2; 90; 3 (K);0,09;-7,00;9,67;-38,99;-32,40;4,22;27,39;12,86
 2; 91; 3 (K);-3,12;-8,70;9,42;-38,72;-32,58;3,83;25,13;14,92
 2; 92; 3 (K);-5,99;-10,35;9,06;-38,41;-32,81;3,38;22,97;16,74
 2; 93; 3 (K);-8,55;-11,95;8,64;-38,08;-33,09;2,91;20,92;18,33
 2; 94; 3 (K);-10,82;-13,49;8,16;-37,72;-33,40;2,44;18,99;19,74
 2; 95; 3 (K);-12,82;-14,96;7,63;-37,34;-33,75;1,99;17,16;20,97
 2; 96; 3 (K);-14,57;-16,36;7,08;-36,95;-34,12;1,58;15,44;22,04
 2; 97; 3 (K);-16,10;-17,67;6,51;-36,55;-34,52;1,22;13,82;22,98
 2; 98; 3 (K);-17,43;-18,89;5,94;-36,16;-34,92;0,90;12,29;23,80
 2; 99; 3 (K);-18,58;-20,01;5,35;-35,79;-35,31;0,63;10,85;24,51
 2; 100; 3 (K);-19,57;-21,03;4,77;-35,43;-35,70;0,41;9,48;25,12
 2; 101; 3 (K);-20,40;-21,95;4,19;-35,09;-36,07;0,23;8,19;25,65
 2; 102; 3 (K);-21,10;-22,76;3,62;-34,78;-36,41;0,11;6,97;26,09
 2; 103; 3 (K);-21,67;-23,46;3,05;-34,51;-36,71;0,02;5,80;26,45
 2; 104; 3 (K);-22,13;-24,05;2,48;-34,28;-36,97;-0,03;4,68;26,75
 2; 105; 3 (K);-22,49;-24,52;1,93;-34,09;-37,19;-0,06;3,60;26,98
 2; 106; 3 (K);-22,76;-24,88;1,37;-33,94;-37,36;-0,06;2,55;27,15
 2; 107; 3 (K);-22,93;-25,11;0,82;-33,85;-37,47;-0,04;1,52;27,26
 2; 108; 3 (K);-23,02;-25,23;0,27;-33,80;-37,53;-0,01;0,51;27,32
 2; 109; 3 (K);-23,02;-25,23;-0,27;-33,80;-37,53;0,01;-0,51;27,32
 2; 110; 3 (K);-22,93;-25,11;-0,82;-33,85;-37,47;0,04;-1,52;27,26
 2; 111; 3 (K);-22,76;-24,88;-1,37;-33,94;-37,36;0,06;-2,55;27,15
 2; 112; 3 (K);-22,49;-24,52;-1,93;-34,09;-37,19;0,06;-3,60;26,98
 2; 113; 3 (K);-22,13;-24,05;-2,48;-34,28;-36,97;0,03;-4,68;26,75
 2; 114; 3 (K);-21,67;-23,46;-3,05;-34,51;-36,71;-0,02;-5,80;26,45
 2; 115; 3 (K);-21,10;-22,76;-3,62;-34,78;-36,41;-0,11;-6,97;26,09
 2; 116; 3 (K);-20,40;-21,95;-4,19;-35,09;-36,07;-0,23;-8,19;25,65
 2; 117; 3 (K);-19,57;-21,03;-4,77;-35,43;-35,70;-0,41;-9,48;25,12
 2; 118; 3 (K);-18,58;-20,01;-5,35;-35,79;-35,31;-0,63;-10,85;24,51
 2; 119; 3 (K);-17,43;-18,89;-5,94;-36,16;-34,92;-0,90;-12,29;23,80
 2; 120; 3 (K);-16,10;-17,67;-6,51;-36,55;-34,52;-1,22;-13,82;22,98
 2; 121; 3 (K);-14,57;-16,36;-7,08;-36,95;-34,12;-1,58;-15,44;22,04
 2; 122; 3 (K);-12,82;-14,96;-7,63;-37,34;-33,75;-1,99;-17,16;20,97
 2; 123; 3 (K);-10,82;-13,49;-8,16;-37,72;-33,40;-2,44;-18,99;19,74
 2; 124; 3 (K);-8,55;-11,95;-8,64;-38,08;-33,09;-2,91;-20,92;18,33
 2; 125; 3 (K);-5,99;-10,35;-9,06;-38,41;-32,81;-3,38;-22,97;16,74
 2; 126; 3 (K);-3,12;-8,70;-9,42;-38,72;-32,58;-3,83;-25,13;14,92
 2; 127; 3 (K);0,09;-7,00;-9,67;-38,99;-32,40;-4,22;-27,39;12,86
 2; 128; 3 (K);3,67;-5,28;-9,78;-39,22;-32,27;-4,51;-29,77;10,51
 2; 129; 3 (K);7,63;-3,53;-9,74;-39,41;-32,17;-4,64;-32,24;7,83
 2; 130; 3 (K);12,00;-1,78;-9,47;-39,57;-32,11;-4,53;-34,81;4,76
 2; 131; 3 (K);16,80;-0,03;-8,94;-39,71;-32,05;-4,07;-37,46;1,24
 2; 132; 3 (K);22,04;1,69;-8,06;-39,85;-31,98;-3,10;-40,16;-2,83
 2; 133; 3 (K);27,73;3,37;-6,75;-40,03;-31,90;-1,38;-42,89;-7,61
 2; 134; 3 (K);33,92;5,05;-4,52;-40,38;-31,78;1,45;-46,22;-12,83
 2; 135; 3 (K);45,09;8,60;-2,05;-49,01;-36,61;2,48;-56,31;-39,18
 2; 136; 3 (K);48,67;9,24;-1,61;-56,45;-42,89;3,49;-63,34;-31,98
 2; 137; 3 (K);51,92;9,85;-1,15;-62,76;-48,11;4,36;-69,37;-24,11
 2; 138; 3 (K);54,81;10,40;-0,67;-68,20;-52,49;5,19;-74,54;-15,78
 2; 139; 3 (K);57,31;10,88;-0,18;-72,94;-56,20;6,01;-78,95;-7,16
 2; 140; 3 (K);59,38;11,28;0,31;-77,09;-59,35;6,83;-82,66;1,62
 2; 141; 3 (K);61,02;11,60;0,81;-80,71;-61,99;7,65;-85,72;10,46
 2; 142; 3 (K);62,20;11,83;1,30;-83,83;-64,16;8,46;-88,13;19,25
 2; 143; 3 (K);62,91;11,97;1,77;-86,46;-65,87;9,26;-89,91;27,91
 2; 144; 3 (K);63,12;12,02;2,24;-88,58;-67,10;10,03;-91,03;36,34
 2; 145; 3 (K);62,82;11,97;2,68;-90,16;-67,84;10,77;-91,48;44,44
 2; 146; 3 (K);61,99;11,82;3,09;-91,17;-68,04;11,47;-91,20;52,11
 2; 147; 3 (K);60,62;11,57;3,47;-91,53;-67,67;12,11;-90,17;59,24
 2; 148; 3 (K);58,69;11,21;3,81;-91,20;-66,66;12,69;-88,31;65,72
 2; 149; 3 (K);56,19;10,74;4,10;-90,08;-64,97;13,21;-85,58;71,44
 2; 150; 3 (K);53,12;10,17;4,34;-88,09;-62,55;13,66;-81,91;76,27
 2; 151; 3 (K);49,49;9,50;4,52;-85,13;-59,36;14,03;-77,21;80,06
 2; 152; 3 (K);45,31;8,74;4,64;-81,10;-55,36;14,34;-71,43;82,67
 2; 153; 3 (K);40,61;7,88;4,68;-75,90;-50,59;14,58;-64,50;83,92
 2; 154; 3 (K);35,45;6,95;4,63;-69,44;-45,14;14,75;-56,38;83,62
 2; 155; 3 (K);29,90;5,96;4,49;-61,70;-39,20;14,88;-47,07;81,53
 2; 156; 3 (K);24,09;4,94;4,24;-52,70;-33,15;14,94;-36,63;77,39
 2; 157; 3 (K);18,18;3,92;3,87;-42,63;-27,68;14,91;-25,27;70,91
 2; 158; 3 (K);12,41;2,91;3,35;-31,92;-23,84;14,69;-13,40;61,78
 2; 159; 3 (K);7,08;1,92;2,65;-21,30;-23,12;13,90;-1,80;49,67
 2; 160; 3 (K);2,66;0,79;1,64;-12,44;-26,51;12,35;7,86;35,62
 2; 161; 3 (K);3,22;2,66;3,58;-12,56;-20,32;8,57;8,66;15,61
 2; 162; 3 (K);6,34;2,93;5,35;-22,74;-23,07;10,64;-0,90;16,02
 2; 163; 3 (K);10,04;3,23;6,53;-33,16;-25,71;13,17;-11,80;18,47
 2; 164; 3 (K);14,13;3,62;7,33;-43,30;-28,81;14,78;-22,88;20,28
 2; 165; 3 (K);18,42;4,11;7,84;-52,78;-32,55;15,46;-33,51;21,19
 2; 166; 3 (K);22,74;4,65;8,10;-61,29;-36,67;15,49;-43,34;21,26
 2; 167; 3 (K);26,94;5,23;8,15;-68,67;-40,87;15,09;-52,16;20,63
 2; 168; 3 (K);30,93;5,81;8,04;-74,86;-44,89;14,43;-59,90;19,43
 2; 169; 3 (K);34,63;6,36;7,79;-79,89;-48,56;13,63;-66,55;17,82
 2; 170; 3 (K);37,97;6,88;7,42;-83,81;-51,77;12,75;-72,12;15,91
 2; 171; 3 (K);40,93;7,34;6,95;-86,71;-54,44;11,86;-76,68;13,79
 2; 172; 3 (K);43,47;7,74;6,39;-88,67;-56,55;10,97;-80,27;11,55
 2; 173; 3 (K);45,57;8,07;5,77;-89,79;-58,10;10,09;-82,97;9,25
 2; 174; 3 (K);47,24;8,34;5,09;-90,14;-59,11;9,24;-84,82;6,93
 2; 175; 3 (K);48,47;8,53;4,36;-89,79;-59,58;8,41;-85,89;4,62
 2; 176; 3 (K);49,27;8,64;3,60;-88,82;-59,54;7,61;-86,22;2,35
 2; 177; 3 (K);49,64;8,69;2,81;-87,27;-59,03;6,82;-85,85;0,15
 2; 178; 3 (K);49,61;8,66;2,01;-85,19;-58,06;6,04;-84,83;-1,98
 2; 179; 3 (K);49,17;8,57;1,19;-82,59;-56,64;5,27;-83,18;-4,03
 2; 180; 3 (K);48,35;8,40;0,37;-79,50;-54,79;4,48;-80,90;-5,97
 2; 181; 3 (K);47,17;8,18;-0,45;-75,90;-52,51;3,68;-78,01;-7,78
 2; 182; 3 (K);45,65;7,89;-1,25;-71,77;-49,78;2,83;-74,49;-9,46
 2; 183; 3 (K);43,81;7,56;-2,04;-67,06;-46,61;1,92;-70,32;-10,94
 2; 184; 3 (K);41,69;7,19;-2,79;-61,66;-42,99;0,94;-65,45;-12,16
 2; 185; 3 (K);39,32;6,79;-3,49;-55,46;-38,97;-0,13;-59,82;-12,97
 2; 186; 3 (K);36,78;6,42;-4,13;-48,29;-34,73;-1,16;-53,37;-13,04
 2; 187; 3 (K);2,91;5,35;5,56;-14,41;-18,32;12,09;12,05;5,65
 2; 188; 3 (K);5,06;4,83;8,13;-25,33;-22,10;14,74;2,43;6,63
 2; 189; 3 (K);7,59;4,26;9,76;-35,10;-25,79;17,22;-7,64;9,16
 2; 190; 3 (K);10,44;3,88;10,88;-44,42;-29,08;19,04;-17,57;11,41
 2; 191; 3 (K);13,50;3,68;11,56;-53,17;-32,22;20,00;-27,08;13,06
 2; 192; 3 (K);16,64;3,63;11,87;-61,12;-35,33;20,17;-35,93;14,04
 2; 193; 3 (K);19,77;3,69;11,88;-68,10;-38,41;19,73;-43,95;14,38
 2; 194; 3 (K);22,80;3,82;11,63;-74,04;-41,37;18,87;-51,08;14,17
 2; 195; 3 (K);25,66;4,01;11,17;-78,90;-44,11;17,75;-57,28;13,51
 2; 196; 3 (K);28,30;4,21;10,55;-82,73;-46,57;16,46;-62,55;12,50
 2; 197; 3 (K);30,67;4,42;9,78;-85,59;-48,67;15,10;-66,92;11,23
 2; 198; 3 (K);32,75;4,61;8,90;-87,54;-50,38;13,72;-70,43;9,76
 2; 199; 3 (K);34,51;4,79;7,93;-88,66;-51,67;12,34;-73,11;8,16
 2; 200; 3 (K);35,94;4,93;6,89;-89,03;-52,53;10,99;-75,02;6,48
 2; 201; 3 (K);37,04;5,03;5,79;-88,71;-52,97;9,68;-76,20;4,76
 2; 202; 3 (K);37,81;5,10;4,65;-87,76;-52,99;8,40;-76,69;3,03
 2; 203; 3 (K);38,24;5,13;3,49;-86,23;-52,61;7,16;-76,52;1,31
 2; 204; 3 (K);38,35;5,11;2,31;-84,16;-51,82;5,95;-75,73;-0,36
 2; 205; 3 (K);38,15;5,06;1,12;-81,57;-50,66;4,75;-74,34;-1,97
 2; 206; 3 (K);37,65;4,97;-0,05;-78,47;-49,12;3,56;-72,37;-3,49
 2; 207; 3 (K);36,86;4,84;-1,21;-74,86;-47,24;2,35;-69,82;-4,89
 2; 208; 3 (K);35,82;4,69;-2,34;-70,71;-45,02;1,11;-66,70;-6,14
 2; 209; 3 (K);34,54;4,51;-3,42;-65,97;-42,50;-0,15;-63,01;-7,18
 2; 210; 3 (K);33,07;4,33;-4,45;-60,57;-39,76;-1,44;-58,73;-7,91
 2; 211; 3 (K);31,44;4,18;-5,39;-54,42;-36,90;-2,66;-53,88;-8,22
 2; 212; 3 (K);29,69;4,10;-6,22;-47,45;-34,05;-3,65;-48,52;-7,92
 2; 213; 3 (K);2,95;8,85;6,75;-16,56;-21,03;16,59;16,88;-6,04
 2; 214; 3 (K);4,10;7,19;9,85;-27,83;-23,93;19,27;7,07;-3,74
 2; 215; 3 (K);5,63;5,68;11,76;-37,15;-27,11;21,45;-2,73;-0,67
 2; 216; 3 (K);7,46;4,44;13,06;-45,68;-30,03;23,00;-12,06;2,15
 2; 217; 3 (K);9,50;3,49;13,83;-53,63;-32,64;23,81;-20,86;4,47
 2; 218; 3 (K);11,66;2,78;14,16;-60,90;-35,03;23,91;-29,04;6,21
 2; 219; 3 (K);13,86;2,28;14,13;-67,37;-37,27;23,39;-36,50;7,37
 2; 220; 3 (K);16,06;1,94;13,79;-72,94;-39,39;22,39;-43,18;8,01
 2; 221; 3 (K);18,17;1,72;13,19;-77,57;-41,36;21,06;-49,05;8,20
 2; 222; 3 (K);20,17;1,59;12,40;-81,26;-43,13;19,51;-54,10;8,01
 2; 223; 3 (K);22,00;1,52;11,43;-84,04;-44,67;17,83;-58,35;7,53
 2; 224; 3 (K);23,64;1,49;10,34;-85,96;-45,94;16,09;-61,82;6,82
 2; 225; 3 (K);25,06;1,49;9,14;-87,09;-46,91;14,34;-64,54;5,94
 2; 226; 3 (K);26,25;1,50;7,86;-87,48;-47,57;12,61;-66,54;4,93
 2; 227; 3 (K);27,20;1,52;6,52;-87,19;-47,90;10,91;-67,85;3,85
 2; 228; 3 (K);27,90;1,54;5,14;-86,28;-47,90;9,25;-68,52;2,72
 2; 229; 3 (K);28,36;1,55;3,74;-84,78;-47,57;7,64;-68,57;1,57
 2; 230; 3 (K);28,57;1,55;2,32;-82,74;-46,92;6,06;-68,02;0,45
 2; 231; 3 (K);28,55;1,54;0,92;-80,17;-45,97;4,52;-66,91;-0,63
 2; 232; 3 (K);28,31;1,53;-0,47;-77,08;-44,73;2,99;-65,25;-1,63
 2; 233; 3 (K);27,86;1,51;-1,82;-73,48;-43,22;1,48;-63,06;-2,53
 2; 234; 3 (K);27,22;1,49;-3,12;-69,33;-41,50;-0,02;-60,35;-3,26
 2; 235; 3 (K);26,41;1,49;-4,36;-64,60;-39,59;-1,49;-57,13;-3,79
 2; 236; 3 (K);25,47;1,52;-5,52;-59,26;-37,60;-2,88;-53,44;-4,04
 2; 237; 3 (K);24,43;1,62;-6,56;-53,27;-35,59;-4,10;-49,31;-3,90
 2; 238; 3 (K);23,31;1,84;-7,47;-46,68;-33,63;-4,99;-44,83;-3,28
 2; 239; 3 (K);3,27;13,01;7,48;-19,45;-26,49;20,16;20,77;-18,36
 2; 240; 3 (K);3,56;10,04;10,99;-30,09;-28,17;23,06;11,10;-14,40
 2; 241; 3 (K);4,22;7,45;13,13;-38,91;-30,22;25,06;1,64;-10,39
 2; 242; 3 (K);5,17;5,30;14,58;-46,77;-32,26;26,35;-7,20;-6,81
 2; 243; 3 (K);6,33;3,54;15,45;-53,99;-34,12;26,95;-15,44;-3,75
 2; 244; 3 (K);7,64;2,14;15,82;-60,60;-35,78;26,89;-23,06;-1,26
 2; 245; 3 (K);9,05;1,04;15,79;-66,52;-37,30;26,25;-30,02;0,68
 2; 246; 3 (K);10,50;0,19;15,40;-71,67;-38,69;25,14;-36,28;2,10
 2; 247; 3 (K);11,95;-0,47;14,74;-76,01;-39,97;23,66;-41,82;3,07
 2; 248; 3 (K);13,36;-0,96;13,83;-79,51;-41,13;21,94;-46,64;3,64
 2; 249; 3 (K);14,69;-1,32;12,74;-82,18;-42,13;20,05;-50,73;3,90
 2; 250; 3 (K);15,91;-1,58;11,50;-84,06;-42,96;18,07;-54,12;3,89
 2; 251; 3 (K);17,00;-1,77;10,14;-85,18;-43,58;16,05;-56,82;3,68
 2; 252; 3 (K);17,95;-1,89;8,69;-85,59;-43,99;14,04;-58,87;3,31
 2; 253; 3 (K);18,73;-1,97;7,17;-85,33;-44,16;12,05;-60,28;2,83
 2; 254; 3 (K);19,35;-2,01;5,61;-84,46;-44,09;10,10;-61,09;2,27
 2; 255; 3 (K);19,79;-2,02;4,03;-83,01;-43,77;8,19;-61,31;1,68
 2; 256; 3 (K);20,07;-2,00;2,45;-81,00;-43,21;6,33;-60,99;1,08
 2; 257; 3 (K);20,18;-1,96;0,87;-78,47;-42,42;4,52;-60,13;0,50
 2; 258; 3 (K);20,14;-1,90;-0,67;-75,42;-41,43;2,75;-58,76;-0,02
 2; 259; 3 (K);19,96;-1,80;-2,17;-71,84;-40,26;1,03;-56,91;-0,44
 2; 260; 3 (K);19,64;-1,67;-3,60;-67,74;-38,95;-0,63;-54,59;-0,72
 2; 261; 3 (K);19,22;-1,50;-4,95;-63,09;-37,55;-2,20;-51,83;-0,81
 2; 262; 3 (K);18,71;-1,25;-6,20;-57,89;-36,12;-3,62;-48,67;-0,64
 2; 263; 3 (K);18,14;-0,89;-7,32;-52,16;-34,71;-4,79;-45,17;-0,16
 2; 264; 3 (K);17,52;-0,38;-8,30;-46,02;-33,35;-5,60;-41,39;0,70
 2; 265; 3 (K);3,81;17,62;7,87;-23,25;-33,23;22,38;23,44;-30,49
 2; 266; 3 (K);3,39;13,25;11,66;-32,47;-33,80;25,65;14,27;-24,96
 2; 267; 3 (K);3,28;9,53;13,98;-40,47;-34,68;27,69;5,28;-19,89
 2; 268; 3 (K);3,46;6,41;15,56;-47,64;-35,68;28,85;-3,06;-15,45
 2; 269; 3 (K);3,86;3,83;16,51;-54,19;-36,65;29,30;-10,78;-11,63
 2; 270; 3 (K);4,44;1,70;16,94;-60,18;-37,54;29,12;-17,90;-8,39
 2; 271; 3 (K);5,15;-0,02;16,93;-65,57;-38,33;28,38;-24,40;-5,72
 2; 272; 3 (K);5,95;-1,41;16,54;-70,30;-39,05;27,18;-30,26;-3,57
 2; 273; 3 (K);6,81;-2,51;15,84;-74,32;-39,70;25,62;-35,48;-1,89
 2; 274; 3 (K);7,69;-3,38;14,89;-77,60;-40,29;23,79;-40,05;-0,60
 2; 275; 3 (K);8,56;-4,05;13,72;-80,14;-40,79;21,78;-43,97;0,33
 2; 276; 3 (K);9,39;-4,57;12,39;-81,94;-41,18;19,64;-47,25;0,98
 2; 277; 3 (K);10,16;-4,95;10,92;-83,03;-41,46;17,45;-49,91;1,40
 2; 278; 3 (K);10,86;-5,22;9,36;-83,44;-41,59;15,24;-51,97;1,63
 2; 279; 3 (K);11,47;-5,40;7,72;-83,21;-41,58;13,05;-53,44;1,72
 2; 280; 3 (K);11,98;-5,50;6,04;-82,38;-41,39;10,88;-54,35;1,71
 2; 281; 3 (K);12,39;-5,53;4,34;-80,98;-41,04;8,76;-54,73;1,63
 2; 282; 3 (K);12,70;-5,50;2,63;-79,03;-40,53;6,70;-54,59;1,53
 2; 283; 3 (K);12,91;-5,41;0,94;-76,55;-39,86;4,70;-53,96;1,43
 2; 284; 3 (K);13,01;-5,27;-0,71;-73,55;-39,05;2,77;-52,87;1,36
 2; 285; 3 (K);13,04;-5,06;-2,31;-70,05;-38,14;0,92;-51,33;1,38
 2; 286; 3 (K);12,98;-4,78;-3,83;-66,04;-37,15;-0,83;-49,37;1,51
