sample	r1	r2
AS.14.CR8.2.3.3	55_S55_L001_R1_001.fastq	55_S55_L001_R2_001.fastq
AS.14.CR8.2.3.4	56_S56_L001_R1_001.fastq	56_S56_L001_R2_001.fastq
OSU.14.CR8.2.4.4	57_S57_L001_R1_001.fastq	57_S57_L001_R2_001.fastq
OSU.14.CR8.2.2.6	58_S58_L001_R1_001.fastq	58_S58_L001_R2_001.fastq
OSU.14.CR8.2.3.8	59_S59_L001_R1_001.fastq	59_S59_L001_R2_001.fastq
OSU.14.CR8.2.4.3	60_S60_L001_R1_001.fastq	60_S60_L001_R2_001.fastq
OSU.14.CR8.2.3.5	61_S61_L001_R1_001.fastq	61_S61_L001_R2_001.fastq
OSU.14.CR8.2.1.7	62_S62_L001_R1_001.fastq	62_S62_L001_R2_001.fastq
OSU.14.CR8.1.4.2	63_S63_L001_R1_001.fastq	63_S63_L001_R2_001.fastq
OSU.14.CR8.2.4.3	64_S64_L001_R1_001.fastq	64_S64_L001_R2_001.fastq
PC.14.CR8.1.4.4	65_S65_L001_R1_001.fastq	65_S65_L001_R2_001.fastq
PC.14.CR8.2.3.2	66_S66_L001_R1_001.fastq	66_S66_L001_R2_001.fastq
PC.14.CR8.2.3.3	67_S67_L001_R1_001.fastq	67_S67_L001_R2_001.fastq
PC.14.CR8.1.3.4	68_S68_L001_R1_001.fastq	68_S68_L001_R2_001.fastq
plate2ctl1	69_S69_L001_R1_001.fastq	69_S69_L001_R2_001.fastq
plate2ctl2	70_S70_L001_R1_001.fastq	70_S70_L001_R2_001.fastq
plate2ctl3	71_S71_L001_R1_001.fastq	71_S71_L001_R2_001.fastq
plate2ctl4	72_S72_L001_R1_001.fastq	72_S72_L001_R2_001.fastq
OSU.13.CR8.0.1.1	73_S73_L001_R1_001.fastq	73_S73_L001_R2_001.fastq
OSU.13.CR8.0.4.1	74_S74_L001_R1_001.fastq	74_S74_L001_R2_001.fastq
OSU.13.CR8.0.1.2	75_S75_L001_R1_001.fastq	75_S75_L001_R2_001.fastq
OSU.13.CR8.0.4.2	76_S76_L001_R1_001.fastq	76_S76_L001_R2_001.fastq
OSU.13.CR8.0.1.3	77_S77_L001_R1_001.fastq	77_S77_L001_R2_001.fastq
OSU.13.CR8.0.4.3	78_S78_L001_R1_001.fastq	78_S78_L001_R2_001.fastq
OSU.13.CR8.0.1.4	79_S79_L001_R1_001.fastq	79_S79_L001_R2_001.fastq
OSU.13.CR8.0.4.4	80_S80_L001_R1_001.fastq	80_S80_L001_R2_001.fastq
OSU.13.CR8.0.2.1	81_S81_L001_R1_001.fastq	81_S81_L001_R2_001.fastq
OSU.13.CR8.0.5.1	82_S82_L001_R1_001.fastq	82_S82_L001_R2_001.fastq
OSU.13.CR8.0.2.2	83_S83_L001_R1_001.fastq	83_S83_L001_R2_001.fastq
OSU.13.CR8.0.5.2	84_S84_L001_R1_001.fastq	84_S84_L001_R2_001.fastq
OSU.13.CR8.0.2.3	85_S85_L001_R1_001.fastq	85_S85_L001_R2_001.fastq
OSU.13.CR8.0.5.3	86_S86_L001_R1_001.fastq	86_S86_L001_R2_001.fastq
OSU.13.CR8.0.2.4	87_S87_L001_R1_001.fastq	87_S87_L001_R2_001.fastq
OSU.13.CR8.0.5.4	88_S88_L001_R1_001.fastq	88_S88_L001_R2_001.fastq
OSU.13.CR8.0.3.1	89_S89_L001_R1_001.fastq	89_S89_L001_R2_001.fastq
OSU.13.CR8.0.6.1	90_S90_L001_R1_001.fastq	90_S90_L001_R2_001.fastq
OSU.13.CR8.0.3.2	91_S91_L001_R1_001.fastq	91_S91_L001_R2_001.fastq
OSU.13.CR8.0.6.2	92_S92_L001_R1_001.fastq	92_S92_L001_R2_001.fastq
OSU.13.CR8.0.3.3	93_S93_L001_R1_001.fastq	93_S93_L001_R2_001.fastq
OSU.13.CR8.0.6.3	94_S94_L001_R1_001.fastq	94_S94_L001_R2_001.fastq
OSU.13.CR8.0.3.4	95_S95_L001_R1_001.fastq	95_S95_L001_R2_001.fastq
OSU.13.CR	96_S96_L001_R1_001.fastq	96_S96_L001_R2_001.fastq
OSU.13.SDH.0.1.1	97_S97_L001_R1_001.fastq	97_S97_L001_R2_001.fastq
OSU.13.SDH.0.1.2	98_S98_L001_R1_001.fastq	98_S98_L001_R2_001.fastq
OSU.13.SDH.0.1.3	99_S99_L001_R1_001.fastq	99_S99_L001_R2_001.fastq
OSU.13.SDH.0.1.4	100_S100_L001_R1_001.fastq	100_S100_L001_R2_001.fastq
OSU.13.SDH.0.2.1	101_S101_L001_R1_001.fastq	101_S101_L001_R2_001.fastq
OSU.13.SDH.0.2.2	102_S102_L001_R1_001.fastq	102_S102_L001_R2_001.fastq
OSU.13.SDH.0.2.3	103_S103_L001_R1_001.fastq	103_S103_L001_R2_001.fastq
OSU.13.SDH.0.2.4	104_S104_L001_R1_001.fastq	104_S104_L001_R2_001.fastq
OSU.13.SDH.0.3.1	105_S105_L001_R1_001.fastq	105_S105_L001_R2_001.fastq
OSU.13.SDH.0.3.2	106_S106_L001_R1_001.fastq	106_S106_L001_R2_001.fastq
OSU.13.SDH.0.3.3	107_S107_L001_R1_001.fastq	107_S107_L001_R2_001.fastq
OSU.13.SDH.0.3.4	108_S108_L001_R1_001.fastq	108_S108_L001_R2_001.fastq
OSU.13.SDH.0.4.1	109_S109_L001_R1_001.fastq	109_S109_L001_R2_001.fastq
OSU.13.SDH.0.4.2	110_S110_L001_R1_001.fastq	110_S110_L001_R2_001.fastq
OSU.13.SDH.0.4.3	111_S111_L001_R1_001.fastq	111_S111_L001_R2_001.fastq
OSU.13.SDH.0.4.4	112_S112_L001_R1_001.fastq	112_S112_L001_R2_001.fastq
OSU.13.SDH.0.5.1	113_S113_L001_R1_001.fastq	113_S113_L001_R2_001.fastq
OSU.13.SDH.0.5.2	114_S114_L001_R1_001.fastq	114_S114_L001_R2_001.fastq
OSU.13.SDH.0.5.3	115_S115_L001_R1_001.fastq	115_S115_L001_R2_001.fastq
OSU.13.SDH.0.5.4	116_S116_L001_R1_001.fastq	116_S116_L001_R2_001.fastq
OSU.13.SDH.0.6.1	117_S117_L001_R1_001.fastq	117_S117_L001_R2_001.fastq
OSU.13.SDH.0.6.2	118_S118_L001_R1_001.fastq	118_S118_L001_R2_001.fastq
OSU.13.SDH.0.6.3	119_S119_L001_R1_001.fastq	119_S119_L001_R2_001.fastq
OSU.13.SDH.0.6.4	120_S120_L001_R1_001.fastq	120_S120_L001_R2_001.fastq
AS.14.SDH.1.1.2	121_S121_L001_R1_001.fastq	121_S121_L001_R2_001.fastq
PC.14.SDH.1.1.1	122_S122_L001_R1_001.fastq	122_S122_L001_R2_001.fastq
OSU.14.SDH.1.4.1	123_S123_L001_R1_001.fastq	123_S123_L001_R2_001.fastq
OSU.14.SDH.1.5.1	124_S124_L001_R1_001.fastq	124_S124_L001_R2_001.fastq
AS.14.SDH.1.1.3	125_S125_L001_R1_001.fastq	125_S125_L001_R2_001.fastq
PC.14.SDH.1.1.3	126_S126_L001_R1_001.fastq	126_S126_L001_R2_001.fastq
OSU.14.SDH.2.3.7	127_S127_L001_R1_001.fastq	127_S127_L001_R2_001.fastq
OSU.14.SDH.2.4.6	128_S128_L001_R1_001.fastq	128_S128_L001_R2_001.fastq
AS.14.SDH.1.2.2	129_S129_L001_R1_001.fastq	129_S129_L001_R2_001.fastq
PC.14.SDH.1.1.4	130_S130_L001_R1_001.fastq	130_S130_L001_R2_001.fastq
OSU.14.SDH.2.5.2	131_S131_L001_R1_001.fastq	131_S131_L001_R2_001.fastq
OSU.14.SDH.3.2.4	132_S132_L001_R1_001.fastq	132_S132_L001_R2_001.fastq
AS.14.SDH.1.2.4	133_S133_L001_R1_001.fastq	133_S133_L001_R2_001.fastq
PC.14.SDH.1.2.1	134_S134_L001_R1_001.fastq	134_S134_L001_R2_001.fastq
OSU.14.SDH.5.4.5	135_S135_L001_R1_001.fastq	135_S135_L001_R2_001.fastq
OSU.14.SDH.6.1.4	136_S136_L001_R1_001.fastq	136_S136_L001_R2_001.fastq
AS.14.SDH.2.1.1	137_S137_L001_R1_001.fastq	137_S137_L001_R2_001.fastq
PC.14.SDH.1.2.2	138_S138_L001_R1_001.fastq	138_S138_L001_R2_001.fastq
OSU.14.SDH.7.1.8	139_S139_L001_R1_001.fastq	139_S139_L001_R2_001.fastq
OSU.14.SDH.7.2.8	140_S140_L001_R1_001.fastq	140_S140_L001_R2_001.fastq
AS.14.SDH.2.1.4	141_S141_L001_R1_001.fastq	141_S141_L001_R2_001.fastq
PC.14.SDH.1.2.2	142_S142_L001_R1_001.fastq	142_S142_L001_R2_001.fastq
OSU.14.SDH.8.4.8	143_S143_L001_R1_001.fastq	143_S143_L001_R2_001.fastq
OSU.14.SDH.8.5.7	144_S144_L001_R1_001.fastq	144_S144_L001_R2_001.fastq
AS.14.SDH.2.2.1	145_S145_L001_R1_001.fastq	145_S145_L001_R2_001.fastq
PC.14.SDH.1.2.3	146_S146_L001_R1_001.fastq	146_S146_L001_R2_001.fastq
OSU.14.SDH.9.3.2	147_S147_L001_R1_001.fastq	147_S147_L001_R2_001.fastq
OSU.14.SDH.9.4.2	148_S148_L001_R1_001.fastq	148_S148_L001_R2_001.fastq
AS.14.SDH.2.2.3	149_S149_L001_R1_001.fastq	149_S149_L001_R2_001.fastq
PC.14.SDH.1.2.4	150_S150_L001_R1_001.fastq	150_S150_L001_R2_001.fastq
OSU.14.SDH.10.1.2	151_S151_L001_R1_001.fastq	151_S151_L001_R2_001.fastq
OSU.14.SDH.11.1.6	152_S152_L001_R1_001.fastq	152_S152_L001_R2_001.fastq
AS.14.SDH.5.2.1	153_S153_L001_R1_001.fastq	153_S153_L001_R2_001.fastq
PC.14.SDH.1.3.1	154_S154_L001_R1_001.fastq	154_S154_L001_R2_001.fastq
OSU.14.SDH.11.2.6	155_S155_L001_R1_001.fastq	155_S155_L001_R2_001.fastq
OSU.14.SDH.11.4.7	156_S156_L001_R1_001.fastq	156_S156_L001_R2_001.fastq
AS.14.SDH.5.2.2	157_S157_L001_R1_001.fastq	157_S157_L001_R2_001.fastq
PC.14.SDH.1.3.2	158_S158_L001_R1_001.fastq	158_S158_L001_R2_001.fastq
OSU.14.SDH.12.1.1	159_S159_L001_R1_001.fastq	159_S159_L001_R2_001.fastq
OSU.14.SDH.12.3.8	160_S160_L001_R1_001.fastq	160_S160_L001_R2_001.fastq
AS.14.SDH.5.3.3	161_S161_L001_R1_001.fastq	161_S161_L001_R2_001.fastq
PC.14.SDH.1.3.3	162_S162_L001_R1_001.fastq	162_S162_L001_R2_001.fastq
OSU.14.SDH.12.4.3	163_S163_L001_R1_001.fastq	163_S163_L001_R2_001.fastq
OSU.14.SDH.12.5.4	164_S164_L001_R1_001.fastq	164_S164_L001_R2_001.fastq
AS.14.SDH.5.3.4	165_S165_L001_R1_001.fastq	165_S165_L001_R2_001.fastq
PC.14.SDH.1.3.4	166_S166_L001_R1_001.fastq	166_S166_L001_R2_001.fastq
OSU.14.SDH.13.2.3	167_S167_L001_R1_001.fastq	167_S167_L001_R2_001.fastq
OSU.14.SDH.13.3.6	168_S168_L001_R1_001.fastq	168_S168_L001_R2_001.fastq
AS.14.SDH.6.2.3	169_S169_L001_R1_001.fastq	169_S169_L001_R2_001.fastq
PC.14.SDH.1.4.1	170_S170_L001_R1_001.fastq	170_S170_L001_R2_001.fastq
OSU.14.SDH.14.1.7	171_S171_L001_R1_001.fastq	171_S171_L001_R2_001.fastq
OSU.14.SDH.14.2.5	172_S172_L001_R1_001.fastq	172_S172_L001_R2_001.fastq
AS.14.SDH.6.2.4	173_S173_L001_R1_001.fastq	173_S173_L001_R2_001.fastq
PC.14.SDH.1.4.2	174_S174_L001_R1_001.fastq	174_S174_L001_R2_001.fastq
OSU.14.SDH.14.3.1	175_S175_L001_R1_001.fastq	175_S175_L001_R2_001.fastq
OSU.14.SDH.14.4.4	176_S176_L001_R1_001.fastq	176_S176_L001_R2_001.fastq
AS.14.SDH.6.3.1	177_S177_L001_R1_001.fastq	177_S177_L001_R2_001.fastq
PC.14.SDH.1.4.3	178_S178_L001_R1_001.fastq	178_S178_L001_R2_001.fastq
OSU.14.SDH.14.5.5	179_S179_L001_R1_001.fastq	179_S179_L001_R2_001.fastq
OSU.14.SDH.15.1.3	180_S180_L001_R1_001.fastq	180_S180_L001_R2_001.fastq
AS.14.SDH.6.3.2	181_S181_L001_R1_001.fastq	181_S181_L001_R2_001.fastq
PC.14.SDH.1.4.4	182_S182_L001_R1_001.fastq	182_S182_L001_R2_001.fastq
OSU.14.SDH.15.3.3	183_S183_L001_R1_001.fastq	183_S183_L001_R2_001.fastq
OSU.14.SDH.16.3.5	184_S184_L001_R1_001.fastq	184_S184_L001_R2_001.fastq
seed.AS.CTL	185_S185_L001_R1_001.fastq	185_S185_L001_R2_001.fastq
seed.PC.CTL	186_S186_L001_R1_001.fastq	186_S186_L001_R2_001.fastq
seed.OSU.ctrl	187_S187_L001_R1_001.fastq	187_S187_L001_R2_001.fastq
seed.OSU.Ctrl 2of4	188_S188_L001_R1_001.fastq	188_S188_L001_R2_001.fastq
seed.OSU.Ctrl 2of5	189_S189_L001_R1_001.fastq	189_S189_L001_R2_001.fastq
plate2ctl1	190_S190_L001_R1_001.fastq	190_S190_L001_R2_001.fastq
plate2ctl2	191_S191_L001_R1_001.fastq	191_S191_L001_R2_001.fastq
plate2ctl3	192_S192_L001_R1_001.fastq	192_S192_L001_R2_001.fastq
CRG.13.AS	193_S193_L001_R1_001.fastq	193_S193_L001_R2_001.fastq
CRG.13.AS.A	194_S194_L001_R1_001.fastq	194_S194_L001_R2_001.fastq
CRG.13.AS.B	195_S195_L001_R1_001.fastq	195_S195_L001_R2_001.fastq
CRG.13.PC	196_S196_L001_R1_001.fastq	196_S196_L001_R2_001.fastq
CRG.13.PC.A	197_S197_L001_R1_001.fastq	197_S197_L001_R2_001.fastq
CRG.13.PC.B	198_S198_L001_R1_001.fastq	198_S198_L001_R2_001.fastq
WG1	199_S199_L001_R1_001.fastq	199_S199_L001_R2_001.fastq
WG2	200_S200_L001_R1_001.fastq	200_S200_L001_R2_001.fastq
WG3	201_S201_L001_R1_001.fastq	201_S201_L001_R2_001.fastq
WG4	202_S202_L001_R1_001.fastq	202_S202_L001_R2_001.fastq
WG5	203_S203_L001_R1_001.fastq	203_S203_L001_R2_001.fastq
WG6	204_S204_L001_R1_001.fastq	204_S204_L001_R2_001.fastq
WG7	205_S205_L001_R1_001.fastq	205_S205_L001_R2_001.fastq
WG8	206_S206_L001_R1_001.fastq	206_S206_L001_R2_001.fastq
WG9	207_S207_L001_R1_001.fastq	207_S207_L001_R2_001.fastq
WG10	208_S208_L001_R1_001.fastq	208_S208_L001_R2_001.fastq
CRGxPM.13.SW	209_S209_L001_R1_001.fastq	209_S209_L001_R2_001.fastq
CRG.13.KR	210_S210_L001_R1_001.fastq	210_S210_L001_R2_001.fastq
CRG.13.CV	211_S211_L001_R1_001.fastq	211_S211_L001_R2_001.fastq
CRG.13.JW	212_S212_L001_R1_001.fastq	212_S212_L001_R2_001.fastq
CRG.13.TP	213_S213_L001_R1_001.fastq	213_S213_L001_R2_001.fastq
CRG.13.MM	214_S214_L001_R1_001.fastq	214_S214_L001_R2_001.fastq
CRG.13.KK	215_S215_L001_R1_001.fastq	215_S215_L001_R2_001.fastq
TGS.13.TH	216_S216_L001_R1_001.fastq	216_S216_L001_R2_001.fastq
DBP.13.KR	217_S217_L001_R1_001.fastq	217_S217_L001_R2_001.fastq
MPL.13.KR	218_S218_L001_R1_001.fastq	218_S218_L001_R2_001.fastq
AxPH.13.SW	219_S219_L001_R1_001.fastq	219_S219_L001_R2_001.fastq
MBD.13.KR	220_S220_L001_R1_001.fastq	220_S220_L001_R2_001.fastq
CIC.13.TH	221_S221_L001_R1_001.fastq	221_S221_L001_R2_001.fastq
ABN.13.LW	222_S222_L001_R1_001.fastq	222_S222_L001_R2_001.fastq
ABN.12.JL	223_S223_L001_R1_001.fastq	223_S223_L001_R2_001.fastq
MPL.13.MS	224_S224_L001_R1_001.fastq	224_S224_L001_R2_001.fastq
RFF.13.RR	225_S225_L001_R1_001.fastq	225_S225_L001_R2_001.fastq
RFF.12.RR	226_S226_L001_R1_001.fastq	226_S226_L001_R2_001.fastq
CRG.12.ASss	227_S227_L001_R1_001.fastq	227_S227_L001_R2_001.fastq
CRG.12.ASosu	228_S228_L001_R1_001.fastq	228_S228_L001_R2_001.fastq
CRG.12.ASmkt	229_S229_L001_R1_001.fastq	229_S229_L001_R2_001.fastq
OPM.12.AS	230_S230_L001_R1_001.fastq	230_S230_L001_R2_001.fastq
CRG.12.CD	231_S231_L001_R1_001.fastq	231_S231_L001_R2_001.fastq
CRG.11.CD	232_S232_L001_R1_001.fastq	232_S232_L001_R2_001.fastq
ABN.11.AS	233_S233_L001_R1_001.fastq	233_S233_L001_R2_001.fastq
ABN.12.LW	234_S234_L001_R1_001.fastq	234_S234_L001_R2_001.fastq
ctl.pooledCRN1	235_S235_L001_R1_001.fastq	235_S235_L001_R2_001.fastq
ctl.3ext	236_S236_L001_R1_001.fastq	236_S236_L001_R2_001.fastq
CRG.14.KK.AS	237_S237_L001_R1_001.fastq	237_S237_L001_R2_001.fastq
CRG.14.KK.0	238_S238_L001_R1_001.fastq	238_S238_L001_R2_001.fastq
CRG.12.13.KK.0	239_S239_L001_R1_001.fastq	239_S239_L001_R2_001.fastq
PMT.14.BG.0	240_S240_L001_R1_001.fastq	240_S240_L001_R2_001.fastq
CRG.14.MM.0	241_S241_L001_R1_001.fastq	241_S241_L001_R2_001.fastq
AxPH.14.SW.0	242_S242_L001_R1_001.fastq	242_S242_L001_R2_001.fastq
CRGxPM.14.SW.0	243_S243_L001_R1_001.fastq	243_S243_L001_R2_001.fastq
MAM.14.LF.CD	244_S244_L001_R1_001.fastq	244_S244_L001_R2_001.fastq
CIC.14.TH.0	245_S245_L001_R1_001.fastq	245_S245_L001_R2_001.fastq
TGS.14.TH.0	246_S246_L001_R1_001.fastq	246_S246_L001_R2_001.fastq
MPL.12.TG.0	247_S247_L001_R1_001.fastq	247_S247_L001_R2_001.fastq
BIC.13.TG.0	248_S248_L001_R1_001.fastq	248_S248_L001_R2_001.fastq
SBB.02.TG.0	249_S249_L001_R1_001.fastq	249_S249_L001_R2_001.fastq
LGS.14.TG.0	250_S250_L001_R1_001.fastq	250_S250_L001_R2_001.fastq
CRG.14.AF.AS	251_S251_L001_R1_001.fastq	251_S251_L001_R2_001.fastq
BLB.14.AF.SSE	252_S252_L001_R1_001.fastq	252_S252_L001_R2_001.fastq
OXG.14.AF.SSE	253_S253_L001_R1_001.fastq	253_S253_L001_R2_001.fastq
MPL.14.LF.AS	254_S254_L001_R1_001.fastq	254_S254_L001_R2_001.fastq
CBV.12.13.LS.0	255_S255_L001_R1_001.fastq	255_S255_L001_R2_001.fastq
HPI.14.LS.0	256_S256_L001_R1_001.fastq	256_S256_L001_R2_001.fastq
HPI.09.LS.0	257_S257_L001_R1_001.fastq	257_S257_L001_R2_001.fastq
CWC.14.LS	258_S258_L001_R1_001.fastq	258_S258_L001_R2_001.fastq
CLT.08.LS	259_S259_L001_R1_001.fastq	259_S259_L001_R2_001.fastq
SFB.10.LS	260_S260_L001_R1_001.fastq	260_S260_L001_R2_001.fastq
DBP.14.KR	261_S261_L001_R1_001.fastq	261_S261_L001_R2_001.fastq
MBD.14.KR	262_S262_L001_R1_001.fastq	262_S262_L001_R2_001.fastq
MPL.13.KR	263_S263_L001_R1_001.fastq	263_S263_L001_R2_001.fastq
OPM.14.KR	264_S264_L001_R1_001.fastq	264_S264_L001_R2_001.fastq
CRG.14.HR	265_S265_L001_R1_001.fastq	265_S265_L001_R2_001.fastq
HBL.14.AH.SSE	266_S266_L001_R1_001.fastq	266_S266_L001_R2_001.fastq
OPM.14.AH.AS	267_S267_L001_R1_001.fastq	267_S267_L001_R2_001.fastq
CRG.13.OSU.top5	268_S268_L001_R1_001.fastq	268_S268_L001_R2_001.fastq
plate3ctl1	269_S269_L001_R1_001.fastq	269_S269_L001_R2_001.fastq
plate3ctl2	270_S270_L001_R1_001.fastq	270_S270_L001_R2_001.fastq
plate3ctl3	271_S271_L001_R1_001.fastq	271_S271_L001_R2_001.fastq
plate3ctl4	272_S272_L001_R1_001.fastq	272_S272_L001_R2_001.fastq
CRG.12.AS.OSU	273_S273_L001_R1_001.fastq	273_S273_L001_R2_001.fastq
CRG.12.AS.OSU	274_S274_L001_R1_001.fastq	274_S274_L001_R2_001.fastq
CRG.12.CD	275_S275_L001_R1_001.fastq	275_S275_L001_R2_001.fastq
CRG.12.CD	276_S276_L001_R1_001.fastq	276_S276_L001_R2_001.fastq
Silk.13.OSU.1	277_S277_L001_R1_001.fastq	277_S277_L001_R2_001.fastq
Silk.13.OSU.2	278_S278_L001_R1_001.fastq	278_S278_L001_R2_001.fastq
Silk.13.OSU.3	279_S279_L001_R1_001.fastq	279_S279_L001_R2_001.fastq
Silk.13.OSU.4	280_S280_L001_R1_001.fastq	280_S280_L001_R2_001.fastq
Soil.14.AS.1	281_S281_L001_R1_001.fastq	281_S281_L001_R2_001.fastq
Soil.14.AS.2	282_S282_L001_R1_001.fastq	282_S282_L001_R2_001.fastq
Soil.14.PC.1	283_S283_L001_R1_001.fastq	283_S283_L001_R2_001.fastq
Soil.14.PC.1	284_S284_L001_R1_001.fastq	284_S284_L001_R2_001.fastq
Soil.13.OSU.1	285_S285_L001_R1_001.fastq	285_S285_L001_R2_001.fastq
Soil.13.OSU.2	286_S286_L001_R1_001.fastq	286_S286_L001_R2_001.fastq
Soil.14.OSU.1	287_S287_L001_R1_001.fastq	287_S287_L001_R2_001.fastq
Soil.14.OSU.2	288_S288_L001_R1_001.fastq	288_S288_L001_R2_001.fastq
