sample	r1	r2
AS.14.CR8.2.1.1	1_S1_L001_R1_001.fastq	1_S1_L001_R2_001.fastq
AS.14.CR8.2.4.1	2_S2_L001_R1_001.fastq	2_S2_L001_R2_001.fastq
AS.14.CR8.1.1.2	3_S3_L001_R1_001.fastq	3_S3_L001_R2_001.fastq
AS.14.CR8.2.4.2	4_S4_L001_R1_001.fastq	4_S4_L001_R2_001.fastq
AS.14.CR8.3.1.3	5_S5_L001_R1_001.fastq	5_S5_L001_R2_001.fastq
AS.14.CR8.1.4.3	6_S6_L001_R1_001.fastq	6_S6_L001_R2_001.fastq
OSU.14.CR8.1.5.2	7_S7_L001_R1_001.fastq	7_S7_L001_R2_001.fastq
OSU.14.CR8.2.3.2	8_S8_L001_R1_001.fastq	8_S8_L001_R2_001.fastq
OSU.14.CR8.1.4.1	9_S9_L001_R1_001.fastq	9_S9_L001_R2_001.fastq
OSU.14.CR8.2.5.4	10_S10_L001_R1_001.fastq	10_S10_L001_R2_001.fastq
OSU.14.CR8.1.1.4	11_S11_L001_R1_001.fastq	11_S11_L001_R2_001.fastq
OSU.14.CR8.2.3.3	12_S12_L001_R1_001.fastq	12_S12_L001_R2_001.fastq
OSU.14.CR8.2.1.6	13_S13_L001_R1_001.fastq	13_S13_L001_R2_001.fastq
OSU.14.CR8.2.3.6	14_S14_L001_R1_001.fastq	14_S14_L001_R2_001.fastq
OSU.14.CR8.2.2.3	15_S15_L001_R1_001.fastq	15_S15_L001_R2_001.fastq
PC.14.CR8.2.1.1	16_S16_L001_R1_001.fastq	16_S16_L001_R2_001.fastq
PC.14.CR8.1.1.2	17_S17_L001_R1_001.fastq	17_S17_L001_R2_001.fastq
PC.14.CR8.1.1.3	18_S18_L001_R1_001.fastq	18_S18_L001_R2_001.fastq
AS.14.CR8.2.1.4	19_S19_L001_R1_001.fastq	19_S19_L001_R2_001.fastq
AS.14.CR8.3.2.1	20_S20_L001_R1_001.fastq	20_S20_L001_R2_001.fastq
AS.14.CR8.3.2.2	21_S21_L001_R1_001.fastq	21_S21_L001_R2_001.fastq
AS.14.CR8.1.4.4	22_S22_L001_R1_001.fastq	22_S22_L001_R2_001.fastq
AS.14.CR8.2.5.1	23_S23_L001_R1_001.fastq	23_S23_L001_R2_001.fastq
AS.14.CR8.1.5.2	24_S24_L001_R1_001.fastq	24_S24_L001_R2_001.fastq
OSU.14.CR8.1.4.8	25_S25_L001_R1_001.fastq	25_S25_L001_R2_001.fastq
OSU.14.CR8.2.4.2	26_S26_L001_R1_001.fastq	26_S26_L001_R2_001.fastq
OSU.14.CR8.1.2.4	27_S27_L001_R1_001.fastq	27_S27_L001_R2_001.fastq
OSU.14.CR8.2.2.8	28_S28_L001_R1_001.fastq	28_S28_L001_R2_001.fastq
OSU.14.CR8.1.3.1	29_S29_L001_R1_001.fastq	29_S29_L001_R2_001.fastq
OSU.14.CR8.2.1.3	30_S30_L001_R1_001.fastq	30_S30_L001_R2_001.fastq
OSU.14.CR8.1.5.7	31_S31_L001_R1_001.fastq	31_S31_L001_R2_001.fastq
OSU.14.CR8.1.5.1	32_S32_L001_R1_001.fastq	32_S32_L001_R2_001.fastq
OSU.14.CR8.2.2.3	33_S33_L001_R1_001.fastq	33_S33_L001_R2_001.fastq
PC.14.CR8.1.1.4	34_S34_L001_R1_001.fastq	34_S34_L001_R2_001.fastq
PC.14.CR8.1.2.1	35_S35_L001_R1_001.fastq	35_S35_L001_R2_001.fastq
PC.14.CR8.1.2.2	36_S36_L001_R1_001.fastq	36_S36_L001_R2_001.fastq
AS.14.CR8.1.2.2	37_S37_L001_R1_001.fastq	37_S37_L001_R2_001.fastq
AS.14.CR8.2.2.4	38_S38_L001_R1_001.fastq	38_S38_L001_R2_001.fastq
AS.14.CR8.3.3.1	39_S39_L001_R1_001.fastq	39_S39_L001_R2_001.fastq
AS.14.CR8.3.5.3	40_S40_L001_R1_001.fastq	40_S40_L001_R2_001.fastq
OSU.14.CR8.1.4.6	41_S41_L001_R1_001.fastq	41_S41_L001_R2_001.fastq
OSU.14.CR8.1.1.8	42_S42_L001_R1_001.fastq	42_S42_L001_R2_001.fastq
OSU.14.CR8.2.1.2	43_S43_L001_R1_001.fastq	43_S43_L001_R2_001.fastq
OSU.14.CR8.1.4.5	44_S44_L001_R1_001.fastq	44_S44_L001_R2_001.fastq
OSU.14.CR8.1.3.7	45_S45_L001_R1_001.fastq	45_S45_L001_R2_001.fastq
OSU.14.CR8.2.1.1	46_S46_L001_R1_001.fastq	46_S46_L001_R2_001.fastq
OSU.14.CR8.2.5.5	47_S47_L001_R1_001.fastq	47_S47_L001_R2_001.fastq
OSU.14.CR8.2.4.7	48_S48_L001_R1_001.fastq	48_S48_L001_R2_001.fastq
PC.14.CR8.2.2.3	49_S49_L001_R1_001.fastq	49_S49_L001_R2_001.fastq
PC.14.CR8.2.2.4	50_S50_L001_R1_001.fastq	50_S50_L001_R2_001.fastq
PC.14.CR8.2.3.1	51_S51_L001_R1_001.fastq	51_S51_L001_R2_001.fastq
PC.14.CR8.1.4.1	52_S52_L001_R1_001.fastq	52_S52_L001_R2_001.fastq
AS.14.CR8.1.5.4	53_S53_L001_R1_001.fastq	53_S53_L001_R2_001.fastq
AS.14.CR8.3.3.2	54_S54_L001_R1_001.fastq	54_S54_L001_R2_001.fastq
