time,mag,e_mag,flag,fit,phase
2456772.109092,-0.00018000000272877514,0.001069999998435378,1,-8.823733261099918e-05,0.7336999552136376
2456772.129524,-0.0001900000061141327,0.001069999998435378,0,-8.818025341260173e-05,0.734496588263994
2456772.149956,-0.0002500000118743628,0.001069999998435378,0,-8.812317421096244e-05,0.7352932213143362
2456772.170387,-0.00031999999191612005,0.001069999998435378,0,-8.80660978006769e-05,0.7360898153658297
2456772.190819,-0.0002899999963119626,0.001069999998435378,1,-8.800901859327731e-05,0.7368864484161861
2456772.21125,-0.00018000000272877514,0.001069999998435378,0,-8.795209669437416e-05,0.737683042485827
2456772.231682,-0.00039000000106170774,0.001069999998435378,0,-8.789517200705172e-05,0.7384796755361833
2456772.252114,-0.0004400000034365803,0.001069999998435378,0,-8.783824731795014e-05,0.739276308568364
2456772.272545,-0.00022000000171829015,0.001069999998435378,0,-8.778132541009396e-05,0.7400729026380191
2456772.292977,-2.9999999242136255e-05,0.001069999998435378,1,-8.772440071381806e-05,0.7408695356883612
2456772.313408,-0.00022000000171829015,0.001069999998435378,0,-8.766783799437925e-05,0.741666129739869
2456772.33384,-0.00033000000985339284,0.001069999998435378,0,-8.761127250295141e-05,0.7424627627902112
2456772.374703,-0.00031999999191612005,0.001069999998435378,0,-8.749814428053847e-05,0.7440559898920469
2456772.415567,-0.0002800000074785203,0.001069999998435378,0,-8.738501327705414e-05,0.7456492559927455
2456772.435998,-0.00011999999696854502,0.001069999998435378,1,-8.732845053872914e-05,0.7464458500624005
2456772.45643,-0.0003800000122282654,0.001069999998435378,0,-8.727238874379411e-05,0.7472424830945954
2456772.476861,-0.0002500000118743628,0.001069999998435378,0,-8.721632968776567e-05,0.7480390771642362
2456772.497293,-0.00016999999934341758,0.001069999998435378,0,-8.71602678858359e-05,0.7488357102145926
2456772.517724,-0.00039999998989515007,0.001069999998435378,0,-8.710420882522378e-05,0.7496323042660862
2456772.538156,-0.00016999999934341758,0.001069999998435378,1,-8.704814701750468e-05,0.7504289373164283
2456772.558588,-0.00018000000272877514,0.001069999998435378,0,-8.699261073193614e-05,0.7512255703667847
2456772.579019,-0.00026000000070780516,0.001069999998435378,0,-8.693707716242632e-05,0.7520221644182783
