Date,Scottrade,Vanguard 403b,Vanguard Roth
 2/3/2015 ,750,,
02/27/2015,,265.85,
 3/2/2015 ,1000,,
03/31/2015,,265.85,
04/01/15,850,,
04/30/15,,265.85,
05/01/15,,265.85,1000
06/01/15,1000,265.85,200
07/01/15,1050,265.85,200
08/01/15,1600,349.98,200
09/01/15,1000,275.73,300
10/01/15,1200,275.73,300
11/01/15,1250,275.73,300
12/01/15,1150,275.73,458.33
01/01/16,1100,275.73,458.33
